 
root [4] .L ../Angles.C 
root [5] .L ../PDG_ZA.C 

root [5] tree->Scan("Nevent:Reaction:Nhits:PDG_ZA(PDGchit):Enhit:PhiDeg(dXhit,dYhit):ThetaDeg(dZhit):Thit","Volhit==3")
***********************************************************************************************************************
*    Row   * Instance *    Nevent *  Reaction *     Nhits * PDG_ZA(PD *     Enhit * PhiDeg(dX * ThetaDeg( *      Thit *
*        9 *        2 *    491358 *         8 *         9 *      2212 * 12.185014 * 60.359703 * 115.35338 * 2.5744828 *
*        9 *        3 *    491358 *         8 *         9 *      2112 * 6.7461039 * 308.97013 * 24.215512 * 3.2939689 *
*        9 *        4 *    491358 *         8 *         9 *     10030 * 11.502943 * 292.04747 * 34.883522 * 4.2030942 *
*        9 *        5 *    491358 *         8 *         9 *      2112 * 15.233360 * 61.127945 * 10.433134 * 2.3589837 *
*        9 *        6 *    491358 *         8 *         9 *      2112 * 6.7399326 * 122.35876 * 68.611309 * 3.2898006 *
*        9 *        7 *    491358 *         8 *         9 *      2212 * 5.2967543 * 302.12482 * 52.282865 * 3.6535014 *
*        9 *        8 *    491358 *         8 *         9 *    100210 * 147.60591 * 186.74743 * 2.1116562 * 3.2229138 *
*       10 *        0 *    510874 *         9 *         9 *        22 * 1.2404815 * 184.43147 * 146.50894 * 0.8027242 *
*       10 *        1 *    510874 *         9 *         9 *        22 * 4.2277709 * 146.43309 * 25.125380 * 0.8028183 *
*       10 *        2 *    510874 *         9 *         9 *      2112 * 5.9552022 * 285.95907 * 20.383954 * 3.4707827 *
*       10 *        3 *    510874 *         9 *         9 *      2212 * 13.048424 * 194.80164 * 51.337984 * 2.5070250 *
*       10 *        4 *    510874 *         9 *         9 *      2112 * 7.2720327 * 174.57053 * 42.734998 * 3.1903862 *
*       10 *        5 *    510874 *         9 *         9 *      2112 * 7.4763025 * 121.03903 * 90.491591 * 3.1561089 *
*       10 *        6 *    510874 *         9 *         9 *      2112 * 11.479319 * 85.488299 * 80.759069 * 2.6435452 *
*       10 *        7 *    510874 *         9 *         9 *      2212 * 56.820227 * 145.47041 * 14.217003 * 1.4775443 *
*       10 *        8 *    510874 *         9 *         9 *    120240 * 133.24529 * 322.77718 * 8.9674204 * 3.5633248 *
*       11 *        0 *    542525 *        10 *         9 *    110241 * 149.65851 * 112.77902 * 5.6311148 * 3.3907813 *
*       11 *        1 *    542525 *        10 *         9 *        22 * 0.0967870 * 244.92818 * 51.090607 * 0.8030892 *
Type <CR> to continue or q to quit ==> 
*       11 *        2 *    542525 *        10 *         9 *        22 * 5.6670879 * 306.71096 * 112.68665 * 0.8029556 *
*       11 *        3 *    542525 *        10 *         9 *        22 * 2.4014110 * 131.47093 *  82.49054 * 0.8023750 *
*       11 *        4 *    542525 *        10 *         9 *      2112 * 21.951434 * 22.631918 *  7.337457 * 2.0512748 *
*       11 *        5 *    542525 *        10 *         9 *      2112 * 0.9327190 * 288.38673 * 70.645152 * 8.0419863 *
*       11 *        6 *    542525 *        10 *         9 *      2212 * 36.523623 * 123.43287 * 16.096135 * 1.7077970 *
*       11 *        7 *    542525 *        10 *         9 *     10020 * 12.369750 * 284.96931 * 114.65485 * 3.4174493 *
*       11 *        8 *    542525 *        10 *         9 *      2212 * 8.3276864 * 304.95010 * 44.466753 * 3.0130187 *
*       12 *        0 *    555967 *        11 *        13 *        22 * 0.3663185 * 354.96905 *  65.32947 * 0.8033446 *
*       12 *        1 *    555967 *        11 *        13 *        22 * 1.3389786 * 264.90954 *  120.0346 * 0.8029166 *
*       12 *        2 *    555967 *        11 *        13 *        22 * 1.0471443 * 106.95414 * 127.90766 * 0.8022142 *
*       12 *        3 *    555967 *        11 *        13 *        22 * 1.6464262 * 247.79595 * 58.164754 * 0.8027088 *
*       12 *        4 *    555967 *        11 *        13 *        22 * 2.1840617 * 173.39541 * 22.455753 * 0.8023620 *
*       12 *        5 *    555967 *        11 *        13 *        22 * 3.4918799 * 93.451143 * 81.308535 * 0.8022521 *
*       12 *        6 *    555967 *        11 *        13 *        22 * 0.3446178 * 82.475843 * 74.835358 * 0.8023980 *
*       12 *        7 *    555967 *        11 *        13 *      2112 * 5.7724615 * 148.78856 * 10.656885 * 3.5176978 *
*       12 *        8 *    555967 *        11 *        13 *      2212 * 9.5813120 * 78.961645 * 40.352798 * 2.8402578 *
*       12 *        9 *    555967 *        11 *        13 *      2112 * 39.152122 * 70.092505 * 52.321063 * 1.6686606 *
*       12 *       10 *    555967 *        11 *        13 *     20030 * 38.424877 * 245.03686 * 16.039897 * 2.5232988 *
*       12 *       11 *    555967 *        11 *        13 *     10030 * 39.710201 * 175.79911 * 23.487239 * 2.4887534 *
*       12 *       12 *    555967 *        11 *        13 *    100210 * 83.160409 * 310.14324 * 8.2674262 * 4.1312857 *
*       13 *        0 *    630124 *        12 *         7 *     60120 * 65.992464 * 315.88537 * 13.806596 * 3.5810529 *
*       13 *        1 *    630124 *        12 *         7 *      2112 * 1.5182945 * 128.00338 * 27.260403 * 6.3932809 *
*       13 *        2 *    630124 *        12 *         7 *     30060 * 24.354838 * 59.898414 * 20.747949 * 4.0884028 *
*       13 *        3 *    630124 *        12 *         7 *     10030 * 34.097032 * 66.445031 * 20.322886 * 2.6463395 *
*       13 *        4 *    630124 *        12 *         7 *     10020 * 8.7671467 * 97.807123 * 38.781290 * 3.9575053 *
Type <CR> to continue or q to quit ==> 
*       13 *        5 *    630124 *        12 *         7 *     10020 * 26.857254 * 268.47804 * 13.632831 * 2.4788700 *
*       13 *        6 *    630124 *        12 *         7 *     20040 * 46.743215 * 205.43082 * 37.839453 * 2.6133511 *
*       14 *        0 *    690308 *        13 *         9 *        22 * 0.3379433 * 181.27667 * 103.78974 * 0.8019968 *
*       14 *        1 *    690308 *        13 *         9 *        22 * 5.2680997 * 346.31575 * 152.35327 * 0.8030098 *
*       14 *        2 *    690308 *        13 *         9 *      2112 * 4.1855162 * 220.11101 * 24.944470 * 4.0455653 *
*       14 *        3 *    690308 *        13 *         9 *     20040 * 27.299914 * 161.88086 * 27.475422 * 3.2617418 *
*       14 *        4 *    690308 *        13 *         9 *      2212 * 27.049552 * 277.70865 * 63.205063 * 1.9006173 *
*       14 *        5 *    690308 *        13 *         9 *      2112 * 19.935632 * 12.053449 * 13.884664 * 2.1278447 *
*       14 *        6 *    690308 *        13 *         9 *      2212 * 11.389577 * 67.098727 * 94.914598 * 2.6473458 *
*       14 *        7 *    690308 *        13 *         9 *      2112 * 3.3124557 * 32.385818 * 128.42598 * 4.4923826 *
*       14 *        8 *    690308 *        13 *         9 *    100210 *   139.651 * 337.04214 * 1.1858311 * 3.2996969 *
*       15 *        0 *    712590 *        -3 *         1 *     80180 * 274.99412 * 339.11733 * 6.8296377 * 2.3483556 *
*       16 *        0 *    771392 *        14 *         8 *        22 * 4.4412687 * 263.25381 * 93.158243 * 0.8019459 *
*       16 *        1 *    771392 *        14 *         8 *     60120 * 48.861033 * 330.47462 * 15.521556 * 4.0804354 *
*       16 *        2 *    771392 *        14 *         8 *     20040 * 35.768334 * 169.08768 * 13.818053 * 2.9146064 *
*       16 *        3 *    771392 *        14 *         8 *     20040 * 20.759519 * 178.14693 * 31.498953 * 3.6691675 *
*       16 *        4 *    771392 *        14 *         8 *      2112 * 11.264654 * 299.90078 * 25.899989 * 2.6599592 *
*       16 *        5 *    771392 *        14 *         8 *      2112 * 10.540600 * 359.26891 * 102.59547 * 2.7367015 *
*       16 *        6 *    771392 *        14 *         8 *     30070 * 93.354279 * 134.64243 * 13.931274 * 2.4802686 *
*       16 *        7 *    771392 *        14 *         8 *      2212 * 5.9353823 * 348.12291 * 76.097013 * 3.4777835 *
*       17 *        0 *    835782 *        15 *         9 *     90180 * 130.69694 * 270.60614 * 8.0963001 * 3.1798114 *
*       17 *        1 *    835782 *        15 *         9 *        22 * 1.1961567 * 155.12864 * 29.235956 * 0.8028410 *
*       17 *        2 *    835782 *        15 *         9 *        22 * 1.8135010 * 51.571469 * 170.26937 * 0.8025626 *
*       17 *        3 *    835782 *        15 *         9 *        22 * 0.9989537 * 69.612399 * 154.09148 * 0.8024485 *
*       17 *        4 *    835782 *        15 *         9 *      2112 * 8.3639193 * 196.55199 * 24.881679 * 3.0095158 *
Type <CR> to continue or q to quit ==> 
*       17 *        5 *    835782 *        15 *         9 *     20040 * 29.814528 * 56.138075 * 37.644272 * 3.1425566 *
*       17 *        6 *    835782 *        15 *         9 *     20040 * 18.003496 * 127.91449 * 55.205131 * 3.9067769 *
*       17 *        7 *    835782 *        15 *         9 *     10020 * 39.120071 * 268.25525 * 44.674868 * 2.1421753 *
*       17 *        8 *    835782 *        15 *         9 *      2112 * 9.1220328 * 51.924355 * 89.139196 * 2.8967638 *
*       18 *        0 *   1054918 *        16 *         8 *        22 * 4.9480169 * 90.538946 * 29.575518 * 0.8022764 *
*       18 *        1 *   1054918 *        16 *         8 *        22 * 0.7401772 * 143.69557 * 153.40222 * 0.8025474 *
*       18 *        2 *   1054918 *        16 *         8 *      2112 * 12.788514 * 343.41437 * 6.7802032 * 2.5284964 *
*       18 *        3 *   1054918 *        16 *         8 *     30060 * 53.151001 * 97.473626 * 32.028526 * 2.9259176 *
*       18 *        4 *   1054918 *        16 *         8 *      2212 * 3.5258967 * 235.31246 * 26.586224 * 4.3669452 *
*       18 *        5 *   1054918 *        16 *         8 *     20040 * 39.422999 * 249.25703 * 27.222934 * 2.8031169 *
*       18 *        6 *   1054918 *        16 *         8 *      2112 * 43.352431 * 338.27364 * 65.914272 * 1.6129786 *
*       18 *        7 *   1054918 *        16 *         8 *     80170 * 76.911916 * 203.52312 * 4.0524000 * 3.8963875 *
*       19 *        0 *   1086951 *        17 *        17 *    380830 * 26.317577 * 99.469554 * 5.6386699 * 13.372430 *
*       19 *        1 *   1086951 *        17 *        17 *        11 * 0.0104964 * 345.64982 * 136.13155 * 2.1552192 *
*       19 *        2 *   1086951 *        17 *        17 *        22 * 0.8939462 * 153.09032 * 44.221649 * 0.8023164 *
*       19 *        3 *   1086951 *        17 *        17 *        22 * 1.0680562 * 20.966308 * 107.40936 * 0.8030782 *
*       19 *        4 *   1086951 *        17 *        17 *        22 * 1.1053513 * 343.26309 * 134.54051 * 0.8030079 *
*       19 *        5 *   1086951 *        17 *        17 *        22 * 1.0593937 * 169.85951 * 76.740980 * 0.8021566 *
*       19 *        6 *   1086951 *        17 *        17 *        22 * 1.2078762 * 62.248744 * 98.288314 * 0.8028273 *
*       19 *        7 *   1086951 *        17 *        17 *        22 * 1.3432014 * 337.30050 * 109.68487 * 0.8031115 *
*       19 *        8 *   1086951 *        17 *        17 *      2112 * 0.9280446 * 157.82689 * 56.531208 * 8.0421031 *
*       19 *        9 *   1086951 *        17 *        17 *      2112 * 2.0934943 * 305.80381 * 110.89975 * 5.5259332 *
*       19 *       10 *   1086951 *        17 *        17 *      2112 * 14.252472 * 240.16403 * 34.489229 * 2.4212933 *
*       19 *       11 *   1086951 *        17 *        17 *      2112 * 24.714841 * 299.21382 * 33.279988 * 1.9641517 *
*       19 *       12 *   1086951 *        17 *        17 *      2212 * 24.781803 * 180.44989 * 50.823167 * 1.9587275 *
Type <CR> to continue or q to quit ==> 
*       19 *       13 *   1086951 *        17 *        17 *      2112 * 14.545560 * 189.92563 * 73.702038 * 2.3999186 *
*       19 *       14 *   1086951 *        17 *        17 *      2112 * 8.5394929 * 17.320613 * 53.008989 * 2.9843461 *
*       19 *       15 *   1086951 *        17 *        17 *     20030 * 51.468229 * 359.11891 * 40.577224 * 2.2513616 *
*       19 *       16 *   1086951 *        17 *        17 *      2212 * 18.129203 * 197.05006 * 139.40013 * 2.2027841 *
*       20 *        0 *   1126565 *        18 *        10 *        22 * 4.1765458 * 353.22371 * 140.47400 * 0.8023287 *
*       20 *        1 *   1126565 *        18 *        10 *        22 * 0.5435951 * 326.55023 * 92.577110 * 0.8022407 *
*       20 *        2 *   1126565 *        18 *        10 *      2112 * 9.9926402 * 184.18406 * 12.979615 * 2.7949949 *
*       20 *        3 *   1126565 *        18 *        10 *      2112 * 7.2635373 * 290.92887 * 33.044735 * 3.1902201 *
*       20 *        4 *   1126565 *        18 *        10 *      2112 * 11.558563 * 182.29843 * 89.531336 * 2.6368385 *
*       20 *        5 *   1126565 *        18 *        10 *     10020 * 10.273822 * 286.60094 * 27.348978 * 3.6973039 *
*       20 *        6 *   1126565 *        18 *        10 *     20030 * 7.0200624 * 339.34266 * 32.443738 * 5.2358563 *
*       20 *        7 *   1126565 *        18 *        10 *      2212 * 2.1377616 * 138.63302 * 44.996855 * 5.4689584 *
*       20 *        8 *   1126565 *        18 *        10 *     20040 * 55.008279 * 238.09760 * 11.353648 * 2.4487501 *
*       20 *        9 *   1126565 *        18 *        10 *     80170 * 104.96476 * 64.488746 * 9.5873481 * 3.4054850 *
*       21 *        0 *   1178053 *        19 *         8 *        22 * 3.1331148 * 8.4641199 * 145.76918 * 0.8028603 *
*       21 *        1 *   1178053 *        19 *         8 *     30060 * 35.131392 * 68.478182 * 21.461206 * 3.4881322 *
*       21 *        2 *   1178053 *        19 *         8 *     20040 * 54.240064 * 357.27575 * 16.017918 * 2.4627486 *
*       21 *        3 *   1178053 *        19 *         8 *      2112 * 13.114174 * 215.19920 * 54.415296 * 2.5020770 *
*       21 *        4 *   1178053 *        19 *         8 *      2112 * 26.638050 * 121.42132 * 17.067905 * 1.9101140 *
*       21 *        5 *   1178053 *        19 *         8 *      2212 * 17.095661 * 95.390897 * 79.926217 * 2.2538572 *
*       21 *        6 *   1178053 *        19 *         8 *      2112 * 11.270134 * 133.42348 * 28.609614 * 2.6593701 *
*       21 *        7 *   1178053 *        19 *         8 *     80160 * 70.038987 * 261.82777 * 16.968167 * 3.9523546 *
*       22 *        0 *   1231462 *        20 *        21 *    360791 * 66.249243 * 63.129569 * 8.4806228 * 8.4064071 *
*       22 *        1 *   1231462 *        20 *        21 *        11 * 0.0229750 * 241.86050 * 20.500813 * 1.6265938 *
*       22 *        2 *   1231462 *        20 *        21 *        22 * 0.7969201 * 144.88176 * 148.21174 * 0.8023115 *
Type <CR> to continue or q to quit ==> 
